,id,name,latitude,longitude,primary_category,popularity_rating
0,49e749fbf964a52086641fe3,The Gage,41.88120182139492,-87.62448118100146,Gastropub,2
1,55669b9b498ee34e5249ea61,Cindy's,41.88169538551873,-87.62460021795313,New American Restaurant,23
2,556b5527498e3bb54be5ff78,Cherry Circle Room,41.88199386897253,-87.62504971026537,American Restaurant,
3,53d6f406498e54a8e8dfb7c4,Acanto,41.8814954607666,-87.62449984215193,Italian Restaurant,
4,4ac7958cf964a52036b820e3,Terzo Piano,41.88044303189611,-87.62243135845135,Italian Restaurant,
5,551192b1498e8695352d33e6,Remington's,41.88262817996864,-87.6246078982256,American Restaurant,
6,4aa986ccf964a520115420e3,Italian Village,41.88092612690439,-87.63024961104458,Italian Restaurant,
7,4b87e738f964a5200ad231e3,La Cantina Enoteca,41.880364,-87.630113,Italian Restaurant,
8,4b217e27f964a520be3c24e3,Rosebud Prime,41.881594207058,-87.6295259507142,Steakhouse,
9,40b28c80f964a52035fb1ee3,Vivere,41.88116970242478,-87.63018114921614,Italian Restaurant,
10,57b4829e498e835ea9052845,Danke,41.879407721101565,-87.63050507479744,New American Restaurant,
11,57b47a10498ec361b714dba8,Brown Bag Seafood Co.,41.87948369366395,-87.63060285204467,Seafood Restaurant,
12,57cdd4f1498e735d5bb57d74,Elske,41.88451225684421,-87.66095684439924,New American Restaurant,
13,587049ab4f417a4e33681969,Eden,41.88530693017767,-87.671171341429,New American Restaurant,
14,56258c49498ee48ae176e5db,Swift & Sons,41.88691196195718,-87.65222401149262,Steakhouse,
15,4ff31952e4b0af32b659d571,Two,41.891199018804656,-87.65598134229593,New American Restaurant,
16,4c0bd6246071a593cfcee132,Next,41.886673699255496,-87.65201483879761,Molecular Gastronomy Restaurant,
17,56fc6a13498edeb9c07e3398,Roister,41.886636,-87.651405,New American Restaurant,
18,50e26293e4b0eb1ff764981b,Fulton Market Kitchen,41.88727430446681,-87.65089062144558,Restaurant,
19,4e6f9c8da809952e23f1ac8a,Cold Storage,41.88687020334227,-87.6522782911488,Seafood Restaurant,
20,5844f3c6d0bb3e5513a95002,The Madison Bar & Kitchen,41.881614174030034,-87.65318897462906,New American Restaurant,
21,595668292e26800edb06c257,City Mouse,41.88745321287898,-87.65227827478463,New American Restaurant,
22,4b6cc9e3f964a52081542ce3,Cafe Ciao,41.88178275845744,-87.65083842036388,Italian Restaurant,
23,4a7b9022f964a52069eb1fe3,Mercat a la Planxa,41.873212009842334,-87.62448108575718,Tapas Restaurant,
24,51f468be498e2c7ba8b1a563,Kurah Mediterranean,41.864241517585604,-87.62402061417475,Mediterranean Restaurant,
25,4ac40dfcf964a520069e20e3,Chicago Firehouse Restaurant,41.86415053846482,-87.62395940272326,Steakhouse,
26,56072920498ecac16609cdf6,Sociale,41.8717573,-87.63091299999999,Tapas Restaurant,
27,4edfec742c5bb0e03e446a40,Acadia,41.85903,-87.625409,New American Restaurant,
28,4de69b012271d1d113e3d3eb,Bodega N. 5 (at Mercat a la Planxa),41.87320906958125,-87.62448600118283,Spanish Restaurant,
29,5043ce54e4b08d5b62f9ceec,Original Triple Crown,41.8521532095254,-87.63259888130592,Chinese Restaurant,
30,54a0b7eb498e19813223d06f,Chicago Oyster House,41.855594916744096,-87.6222319953545,Seafood Restaurant,
31,4e18817cc65b6bfb590f3260,Pacific Shrimp Co,41.848306,-87.638724,Seafood Restaurant,
32,5797f54a498ebad131ac5ba0,Coda Di Volpe,41.94261460311701,-87.66385832224206,Italian Restaurant,
33,57e575a7498edc223c6efabd,Tuco & Blondie,41.94337681171732,-87.66414631786574,Mexican Restaurant,
34,4b78c82af964a52024e22ee3,Yoshi's Cafe,41.94169355603553,-87.6492418251221,Japanese Restaurant,
35,4b943d7af964a520977034e3,Cafe El Tapatio,41.943455,-87.669011,Mexican Restaurant,
36,4faef5e1e4b0e047b237877c,Wood,41.9427740506565,-87.64929405097924,New American Restaurant,
37,55540bbb498e9d3e29cbf76e,Barcocina,41.9346509985954,-87.65377528939807,Tapas Restaurant,
38,5a8eea193731ee7c89433907,Tied House,41.939645911987554,-87.66367265111872,New American Restaurant,
39,60d131b836c80152fab43473,Pescadero Seafood & Oyster Bar,41.939921,-87.661214,Seafood Restaurant,
40,5ba70492d3cce8002cfcf175,Seafood On The Tables,41.935883,-87.662899,Seafood Restaurant,
41,51f6821e498eb0e342bbf904,Tanta Chicago,41.89165171758399,-87.63202122555803,Peruvian Restaurant,21
42,4d87638bf9f3a1cd1abbf164,GT Fish and Oyster,41.891671,-87.633936,Seafood Restaurant,
43,4ae3b1edf964a5203c9821e3,Gene & Georgetti,41.89080534870224,-87.635641169478,Steakhouse,
44,4b32ad2cf964a520a11125e3,Sunda,41.89084019877154,-87.63160263384698,Sushi Restaurant,
45,51b0b828498ecb8d51e396ea,Beatrix,41.89148026650749,-87.63087360767099,New American Restaurant,16
46,4a7a32baf964a520d3e81fe3,Fogo de Chão,41.8941248,-87.6323245,Brazilian Restaurant,
47,4dac89634b22f071eae51772,Roka Akor,41.890688971869025,-87.63133648050572,Japanese Restaurant,
48,577563d5498e8d2eb29bd25d,Ema,41.89091768250545,-87.63095663368316,Mediterranean Restaurant,19
49,40b28c80f964a520aafb1ee3,Frontera Grill,41.890550246513314,-87.63110093742783,Mexican Restaurant,24
50,4b833956f964a52026fe30e3,Prosecco,41.895139947041656,-87.63411324694083,Italian Restaurant,
